handle,sku,max_variant_images,variant_image_2,variant_image_3,variant_image_4,variant_image_5,variant_image_6
skin-hydratacni-ocni-krem,0771,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-hydratacni-ocni-krem/skin-hydratacni-ocni-krem_0771_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-hydratacni-ocni-krem/skin-hydratacni-ocni-krem_0771_3.png,,,
skin-ovocny-peeling,0772,2,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-ovocny-peeling/skin-ovocny-peeling_0772_2.png,,,,
skin-serum-proti-vraskam,0829,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-serum-proti-vraskam/skin-serum-proti-vraskam_0829_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-serum-proti-vraskam/skin-serum-proti-vraskam_0829_3.png,,,
skin-denni-hydratacni-krem,0830,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-denni-hydratacni-krem/skin-denni-hydratacni-krem_0830_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-denni-hydratacni-krem/skin-denni-hydratacni-krem_0830_3.png,,,
skin-hydratacni-krem-sfaktorem,0828,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-hydratacni-krem-sfaktorem/skin-hydratacni-krem-sfaktorem_0828_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-hydratacni-krem-sfaktorem/skin-hydratacni-krem-sfaktorem_0828_3.png,,,
skin-vyzivy-nocni-krem,0827,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-vyzivy-nocni-krem/skin-vyzivy-nocni-krem_0827_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/skin-vyzivy-nocni-krem/skin-vyzivy-nocni-krem_0827_3.png,,,
herbal-aloe-myci-telovy-gel,2561,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbal-aloe-myci-telovy-gel/herbal-aloe-myci-telovy-gel_2561_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbal-aloe-myci-telovy-gel/herbal-aloe-myci-telovy-gel_2561_3.png,,,
herbal-aloe-zklidnujici-gel,2562,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbal-aloe-zklidnujici-gel/herbal-aloe-zklidnujici-gel_2562_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbal-aloe-zklidnujici-gel/herbal-aloe-zklidnujici-gel_2562_3.png,,,
herbal-aloe-krem-na-ruce,2563,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbal-aloe-krem-na-ruce/herbal-aloe-krem-na-ruce_2563_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbal-aloe-krem-na-ruce/herbal-aloe-krem-na-ruce_2563_3.png,,,
herbal-aloe-posilujici-sampon,2564,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbal-aloe-posilujici-sampon/herbal-aloe-posilujici-sampon_2564_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbal-aloe-posilujici-sampon/herbal-aloe-posilujici-sampon_2564_3.png,,,
herbal-aloe-posilujici-kondicioner,2565,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbal-aloe-posilujici-kondicioner/herbal-aloe-posilujici-kondicioner_2565_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbal-aloe-posilujici-kondicioner/herbal-aloe-posilujici-kondicioner_2565_3.png,,,
multi-odmerka,9B48,2,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/multi-odmerka/multi-odmerka_9B48_2.png,,,,
udrzitelna-odmerka-f3,2B10,1,,,,,
udrzitelna-odmerka-f1,2B09,1,,,,,
udrzitelna-odmerka-nm,2B08,1,,,,,
udrzitelna-odmerka-bh,1B42,1,,,,,
udrzitelna-odmerka-nw,2B12,1,,,,,
shaker,100M,1,,,,,
shaker-box,9N84,1,,,,,
shaker-box,9N85,1,,,,,
cr7-lahev,245A,1,,,,,
krejcovsky-metr,113M,1,,,,,
zkusebni-balicek,0M27,6,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/zkusebni-balicek/zkusebni-balicek_0M27_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/zkusebni-balicek/zkusebni-balicek_0M27_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/zkusebni-balicek/zkusebni-balicek_0M27_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/zkusebni-balicek/zkusebni-balicek_0M27_5.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/zkusebni-balicek/zkusebni-balicek_0M27_6.png
